1L_D [395.3, 544.7]
2L_D [165.6, 344.4]
3L_D:[142.1, 267.8] 
4L_D:[33.1, 75.4]
5L_D:[31.4, 65.7]
6L_D:[7.8, 19.4]
7L_D:[8.28, 14.7]
8L_D:[2.8, 9.6]
9L_D:[1.5, 5.96]
10L_D:[2.769230769230769, 6.214285714285714]
11L_D:[2.625, 4.714285714285714]
12L_D:[2.7142857142857144, 4.911764705882353]
13L_D:[2.142857142857143, 5.076923076923077]
14L_D:[3.3, 5.12]
15L_D:[3.4166666666666665, 6.764705882352941]
16L_D:[2.090909090909091, 6.0]
17L_D:[3.5454545454545454, 6.9743589743589745]
18L_D:[4.545454545454546, 9.520833333333334]
19L_D:[2.933333333333333, 8.613636363636363]
